Canzone Origine,"Migliore 1 (Canzone, Similarità)","Migliore 2 (Canzone, Similarità)","Migliore 3 (Canzone, Similarità)","Peggiore 1 (Canzone, Similarità)","Peggiore 2 (Canzone, Similarità)","Peggiore 3 (Canzone, Similarità)"
000814.mp3,000540.mp3 (0.996),000210.mp3 (0.989),000204.mp3 (0.988),000825.mp3 (0.646),000148.mp3 (0.712),000997.mp3 (0.726)
000821.mp3,000207.mp3 (0.975),000210.mp3 (0.974),000814.mp3 (0.974),000825.mp3 (0.654),000997.mp3 (0.732),000897.mp3 (0.734)
000822.mp3,000707.mp3 (0.893),000200.mp3 (0.885),000602.mp3 (0.880),000897.mp3 (0.605),000997.mp3 (0.613),000825.mp3 (0.615)
000825.mp3,000997.mp3 (0.929),000897.mp3 (0.929),000690.mp3 (0.922),000197.mp3 (0.427),000193.mp3 (0.434),000625.mp3 (0.560)
000853.mp3,000368.mp3 (0.952),000709.mp3 (0.951),000995.mp3 (0.928),000197.mp3 (0.663),000148.mp3 (0.674),000625.mp3 (0.705)
000890.mp3,000212.mp3 (0.963),000204.mp3 (0.953),000210.mp3 (0.949),000825.mp3 (0.611),000148.mp3 (0.650),000897.mp3 (0.675)
000892.mp3,000207.mp3 (0.985),000213.mp3 (0.983),000716.mp3 (0.981),000148.mp3 (0.693),000825.mp3 (0.747),000197.mp3 (0.764)
000897.mp3,000690.mp3 (0.992),000997.mp3 (0.990),000459.mp3 (0.975),000193.mp3 (0.463),000197.mp3 (0.476),000203.mp3 (0.595)
000993.mp3,000695.mp3 (0.974),000666.mp3 (0.953),000002.mp3 (0.951),000197.mp3 (0.676),000203.mp3 (0.697),000193.mp3 (0.742)
000995.mp3,000708.mp3 (0.940),000256.mp3 (0.934),000182.mp3 (0.931),000193.mp3 (0.612),000197.mp3 (0.670),000148.mp3 (0.717)
000997.mp3,000690.mp3 (0.998),000897.mp3 (0.990),000998.mp3 (0.981),000193.mp3 (0.487),000197.mp3 (0.512),000203.mp3 (0.599)
000998.mp3,000459.mp3 (0.986),000690.mp3 (0.984),000997.mp3 (0.981),000193.mp3 (0.596),000197.mp3 (0.623),000203.mp3 (0.671)
Song Name,000709.mp3 (0.971),000704.mp3 (0.961),000676.mp3 (0.956),000825.mp3 (0.774),000197.mp3 (0.793),000148.mp3 (0.819)
