Song Name,Frammento 1,Frammento 2,Frammento 3,Frammento 4,Descrizione Totale
000203.mp3,"""rgb(10, 150, 150)""","""rgb(180, 120, 40)""","""rgb(180, 120, 40)""","""rgb(120, 180, 60)""","""rgb(40, 120, 180)"""
000204.mp3,"""rgb(100, 150, 100)""","""rgb(120, 160, 80)""","""rgb(140, 170, 60)""","""rgb(130, 160, 70)""","""rgb(110, 150, 90)"""
000207.mp3,"""rgb(100, 150, 50)""","""rgb(180, 120, 60)""","""rgb(150, 180, 100)""","""rgb(190, 160, 50)""","""rgb(140, 170, 60)"""
000210.mp3,"""rgb(100, 150, 100)""","""rgb(120, 130, 90)""","""rgb(140, 160, 110)""","""rgb(110, 140, 80)""","""rgb(130, 150, 90)"""
000211.mp3,"""rgb(100, 150, 100)""","""rgb(120, 180, 80)""","""rgb(140, 160, 60)""","""rgb(130, 170, 50)""","""rgb(110, 160, 70)"""
000212.mp3,"""rgb(100, 150, 120)""","""rgb(130, 170, 110)""","""rgb(200, 180, 80)""","""rgb(140, 160, 100)""","""rgb(120, 140, 90)"""
000213.mp3,"""rgb(120, 180, 50)""","""rgb(150, 80, 50)""","""rgb(100, 140, 60)""","""rgb(130, 70, 50)""","""rgb(110, 120, 40)"""
000255.mp3,"""rgb(120, 180, 50)""","""rgb(190, 100, 10)""","""rgb(100, 50, 150)""","""rgb(200, 150, 50)""","""rgb(180, 120, 60)"""
000256.mp3,"""rgb(255, 100, 30)""","""rgb(150, 50, 10)""","""rgb(255, 50, 30)""","""rgb(150, 50, 10)""","""rgb(100, 100, 100)"""
000368.mp3,"""rgb(255, 100, 30)""","""rgb(180, 150, 50)""","""rgb(200, 160, 80)""","""rgb(50, 150, 100)""","""rgb(100, 100, 150)"""
000424.mp3,"""rgb(170, 100, 50)""","""rgb(120, 150, 80)""","""rgb(100, 180, 60)""","""rgb(140, 110, 40)""","""rgb(130, 160, 55)"""
000459.mp3,"""rgb(200, 50, 30)""","""rgb(210, 60, 35)""","""rgb(180, 80, 40)""","""rgb(220, 55, 35)""","""rgb(190, 70, 45)"""
000534.mp3,"""rgb(120, 180, 60)""","""rgb(100, 150, 50)""","""rgb(110, 160, 40)""","""rgb(130, 170, 55)""","""rgb(125, 175, 55)"""
000540.mp3,"""rgb(100, 150, 100)""","""rgb(120, 160, 90)""","""rgb(130, 140, 80)""","""rgb(140, 150, 70)""","""rgb(150, 140, 60)"""
000546.mp3,"""rgb(120, 180, 50)""","""rgb(140, 160, 60)""","""rgb(130, 170, 55)""","""rgb(100, 150, 70)""","""rgb(110, 165, 65)"""
000574.mp3,"""rgb(255, 30, 30)""","""rgb(100, 150, 100)""","""rgb(255, 150, 50)""","""rgb(255, 150, 50)""","""rgb(255, 30, 30)"""
000602.mp3,"""rgb(170, 200, 180)""","""rgb(180, 210, 160)""","""rgb(100, 150, 120)""","""rgb(160, 200, 140)""","""rgb(150, 190, 130)"""
000615.mp3,"""rgb(120, 180, 60)""","""rgb(150, 190, 50)""","""rgb(140, 170, 65)""","""rgb(40, 100, 140)""","""rgb(130, 160, 70)"""
000620.mp3,"""rgb(100, 150, 50)""","""rgb(120, 160, 40)""","""rgb(110, 140, 55)""","""rgb(130, 170, 30)""","""rgb(180, 190, 60)"""
000621.mp3,"""rgb(120, 180, 60)""","""rgb(90, 150, 50)""","""rgb(200, 100, 40)""","""rgb(80, 120, 60)""","""rgb(140, 160, 50)"""
000625.mp3,"""rgb(180, 70, 30)""","""rgb(40, 60, 100)""","""rgb(30, 50, 80)""","""rgb(40, 60, 100)""","""rgb(180, 70, 30)"""
000666.mp3,"""rgb(230, 100, 30)""","""rgb(220, 110, 35)""","""rgb(180, 130, 50)""","""rgb(210, 105, 35)""","""rgb(200, 115, 40)"""
000667.mp3,"""rgb(255, 100, 30)""","""rgb(255, 150, 40)""","""rgb(255, 120, 50)""","""rgb(255, 130, 60)""","""rgb(255, 110, 70)"""
000676.mp3,"""rgb(120, 150, 50)""","""rgb(140, 130, 60)""","""rgb(180, 100, 30)""","""rgb(160, 140, 40)""","""rgb(130, 110, 20)"""
000690.mp3,"""rgb(255, 30, 30)""","""rgb(255, 50, 30)""","""rgb(255, 50, 30)""","""rgb(255, 50, 30)""","""rgb(255, 30, 30)"""
000694.mp3,"""rgb(230, 50, 30)""","""rgb(180, 100, 40)""","""rgb(100, 150, 50)""","""rgb(150, 100, 30)""","""rgb(50, 100, 150)"""
000695.mp3,"""rgb(255, 100, 30)""","""rgb(255, 150, 50)""","""rgb(30, 30, 100)""","""rgb(255, 100, 30)""","""rgb(255, 150, 50)"""
000704.mp3,"""rgb(120, 180, 40)""","""rgb(180, 120, 60)""","""rgb(150, 80, 100)""","""rgb(140, 160, 80)""","""rgb(190, 130, 50)"""
000705.mp3,"""rgb(255, 100, 30)""","""rgb(50, 150, 150)""","""rgb(255, 180, 50)""","""rgb(255, 180, 50)""","""rgb(255, 180, 50)"""
000706.mp3,"""rgb(100, 150, 100)""","""rgb(120, 160, 80)""","""rgb(140, 130, 60)""","""rgb(160, 110, 40)""","""rgb(180, 90, 20)"""
000707.mp3,"""rgb(255, 100, 50)""","""rgb(150, 200, 50)""","""rgb(255, 150, 50)""","""rgb(255, 150, 50)""","""rgb(100, 150, 200)"""
000708.mp3,"""rgb(230, 100, 30)""","""rgb(220, 150, 40)""","""rgb(210, 170, 50)""","""rgb(40, 80, 150)""","""rgb(180, 120, 60)"""
000709.mp3,"""rgb(170, 100, 50)""","""rgb(200, 150, 80)""","""rgb(180, 130, 60)""","""rgb(120, 180, 90)""","""rgb(150, 160, 110)"""
000714.mp3,"""rgb(100, 150, 50)""","""rgb(120, 160, 40)""","""rgb(140, 170, 30)""","""rgb(130, 165, 45)""","""rgb(110, 155, 55)"""
000715.mp3,"""rgb(120, 180, 50)""","""rgb(150, 100, 30)""","""rgb(100, 50, 30)""","""rgb(130, 70, 20)""","""rgb(110, 80, 25)"""
000716.mp3,"""rgb(120, 180, 50)""","""rgb(150, 170, 40)""","""rgb(100, 160, 45)""","""rgb(140, 175, 45)""","""rgb(110, 165, 55)"""
000718.mp3,"""rgb(100, 20, 30)""","""rgb(150, 50, 40)""","""rgb(120, 180, 160)""","""rgb(140, 170, 130)""","""rgb(80, 100, 120)"""
000777.mp3,"""rgb(120, 180, 100)""","""rgb(200, 100, 50)""","""rgb(150, 160, 110)""","""rgb(220, 150, 60)""","""rgb(180, 50, 80)"""
000814.mp3,"""rgb(120, 180, 100)""","""rgb(140, 160, 80)""","""rgb(130, 170, 90)""","""rgb(150, 140, 70)""","""rgb(160, 150, 60)"""
000821.mp3,"""rgb(100, 150, 50)""","""rgb(180, 120, 80)""","""rgb(120, 180, 100)""","""rgb(150, 160, 130)""","""rgb(200, 180, 100)"""
000822.mp3,"""rgb(255, 100, 0)""","""rgb(100, 255, 100)""","""rgb(100, 100, 255)""","""rgb(255, 255, 100)""","""rgb(100, 255, 255)"""
000825.mp3,"""rgb(255, 0, 0)""","""rgb(255, 0, 0)""","""rgb(255, 0, 0)""","""rgb(255, 0, 0)""","""rgb(100, 150, 50)"""
000853.mp3,"""rgb(255, 102, 34)""","""rgb(255, 153, 51)""","""rgb(255, 153, 51)""","""rgb(102, 204, 51)""","""rgb(51, 153, 51)"""
000890.mp3,"""rgb(100, 150, 100)""","""rgb(50, 100, 50)""","""rgb(180, 120, 80)""","""rgb(150, 180, 120)""","""rgb(80, 100, 60)"""
000892.mp3,"""rgb(170, 200, 50)""","""rgb(200, 150, 50)""","""rgb(170, 200, 50)""","""rgb(200, 150, 50)""","""rgb(170, 200, 50)"""
000897.mp3,"""rgb(255, 50, 0)""","""rgb(255, 50, 0)""","""rgb(255, 50, 0)""","""rgb(255, 50, 0)""","""rgb(255, 50, 0)"""
000993.mp3,"""rgb(255, 100, 30)""","""rgb(255, 150, 30)""","""rgb(50, 150, 150)""","""rgb(255, 150, 30)""","""rgb(255, 150, 30)"""
000995.mp3,"""rgb(230, 45, 30)""","""rgb(210, 60, 25)""","""rgb(220, 50, 35)""","""rgb(40, 100, 60)""","""rgb(150, 120, 80)"""
000997.mp3,"""rgb(255, 30, 30)""","""rgb(255, 30, 30)""","""rgb(255, 30, 30)""","""rgb(255, 30, 30)""","""rgb(255, 30, 30)"""
000998.mp3,"""rgb(200, 50, 50)""","""rgb(220, 60, 40)""","""rgb(150, 30, 30)""","""rgb(180, 40, 30)""","""rgb(210, 50, 40)"""
Song Name,"""rgb(150, 100, 50)""","""rgb(200, 150, 100)""","""rgb(120, 80, 60)""","""rgb(180, 130, 90)""","""rgb(140, 110, 70)"""
