Nome Canzone,RGB_Fragment_1,RGB_Fragment_2,RGB_Fragment_3,RGB_Fragment_4,RGB_Fragment_5,RGB_Totale
000194.mp3,"rgb(120, 0, 40)","rgb(40, 80, 0)","rgb(40, 40, 0)","rgb(40, 80, 0)","rgb(40, 0, 80)","rgb(56, 40, 24)"
000998.mp3,"rgb(80, 0, 0)","rgb(240, 0, 0)","rgb(120, 0, 0)","rgb(80, 0, 0)","rgb(40, 0, 0)","rgb(112, 0, 0)"
000708.mp3,"rgb(160, 0, 0)","rgb(120, 0, 0)","rgb(160, 0, 0)","rgb(200, 0, 0)","rgb(40, 0, 0)","rgb(136, 0, 0)"
000704.mp3,"rgb(160, 0, 0)","rgb(200, 0, 0)","rgb(160, 0, 0)","rgb(120, 0, 0)","rgb(160, 0, 0)","rgb(160, 0, 0)"
000197.mp3,"rgb(0, 0, 40)","rgb(0, 0, 40)","rgb(40, 0, 0)","rgb(80, 40, 40)","rgb(40, 0, 120)","rgb(32, 8, 48)"
000534.mp3,"rgb(0, 0, 0)","rgb(40, 0, 40)","rgb(0, 0, 0)","rgb(0, 0, 40)","rgb(0, 40, 0)","rgb(8, 8, 16)"
000141.mp3,"rgb(40, 0, 80)","rgb(40, 40, 40)","rgb(40, 40, 0)","rgb(0, 0, 40)","rgb(40, 0, 40)","rgb(32, 16, 40)"
000010.mp3,"rgb(120, 0, 0)","rgb(120, 0, 0)","rgb(120, 0, 0)","rgb(240, 0, 0)","rgb(80, 0, 0)","rgb(136, 0, 0)"
000821.mp3,"rgb(80, 0, 80)","rgb(200, 0, 0)","rgb(80, 0, 0)","rgb(40, 40, 0)","rgb(0, 0, 0)","rgb(80, 8, 16)"
000204.mp3,"rgb(40, 80, 40)","rgb(120, 0, 80)","rgb(40, 40, 0)","rgb(40, 40, 0)","rgb(40, 40, 0)","rgb(56, 40, 24)"
000690.mp3,"rgb(120, 0, 0)","rgb(200, 0, 0)","rgb(200, 0, 0)","rgb(200, 0, 0)","rgb(200, 0, 0)","rgb(184, 0, 0)"
000621.mp3,"rgb(40, 0, 0)","rgb(80, 0, 40)","rgb(0, 80, 0)","rgb(40, 80, 0)","rgb(80, 0, 40)","rgb(48, 32, 16)"
000615.mp3,"rgb(0, 0, 40)","rgb(0, 40, 0)","rgb(40, 0, 0)","rgb(0, 0, 0)","rgb(0, 40, 0)","rgb(8, 16, 8)"
000777.mp3,"rgb(40, 80, 0)","rgb(40, 0, 40)","rgb(240, 0, 0)","rgb(80, 0, 0)","rgb(160, 0, 0)","rgb(112, 16, 8)"
000695.mp3,"rgb(80, 0, 0)","rgb(200, 0, 0)","rgb(80, 0, 0)","rgb(80, 0, 0)","rgb(80, 0, 0)","rgb(104, 0, 0)"
000200.mp3,"rgb(80, 0, 0)","rgb(120, 0, 0)","rgb(80, 0, 80)","rgb(40, 0, 40)","rgb(160, 0, 40)","rgb(96, 0, 32)"
000676.mp3,"rgb(120, 0, 0)","rgb(40, 0, 0)","rgb(80, 0, 0)","rgb(120, 0, 0)","rgb(40, 0, 40)","rgb(80, 0, 8)"
000714.mp3,"rgb(120, 0, 0)","rgb(0, 40, 80)","rgb(160, 0, 0)","rgb(0, 0, 0)","rgb(0, 0, 0)","rgb(56, 8, 16)"
000694.mp3,"rgb(200, 0, 0)","rgb(160, 0, 0)","rgb(200, 0, 0)","rgb(160, 0, 0)","rgb(200, 0, 0)","rgb(184, 0, 0)"
000005.mp3,"rgb(80, 0, 0)","rgb(120, 0, 0)","rgb(200, 0, 0)","rgb(40, 40, 0)","rgb(40, 40, 0)","rgb(96, 16, 0)"
000546.mp3,"rgb(160, 0, 0)","rgb(160, 0, 0)","rgb(40, 40, 40)","rgb(40, 40, 40)","rgb(40, 40, 0)","rgb(88, 24, 16)"
000890.mp3,"rgb(40, 0, 80)","rgb(0, 120, 0)","rgb(40, 40, 40)","rgb(0, 0, 120)","rgb(120, 0, 40)","rgb(40, 32, 56)"
000853.mp3,"rgb(80, 40, 0)","rgb(120, 0, 0)","rgb(120, 0, 0)","rgb(120, 0, 0)","rgb(120, 40, 0)","rgb(112, 16, 0)"
000995.mp3,"rgb(80, 0, 0)","rgb(80, 0, 0)","rgb(160, 0, 0)","rgb(160, 0, 0)","rgb(80, 0, 0)","rgb(112, 0, 0)"
000424.mp3,"rgb(40, 0, 0)","rgb(40, 0, 0)","rgb(160, 0, 0)","rgb(80, 0, 0)","rgb(80, 0, 0)","rgb(80, 0, 0)"
000707.mp3,"rgb(120, 0, 0)","rgb(40, 0, 0)","rgb(200, 0, 0)","rgb(160, 0, 0)","rgb(80, 0, 0)","rgb(120, 0, 0)"
000620.mp3,"rgb(200, 0, 0)","rgb(160, 0, 0)","rgb(80, 0, 0)","rgb(80, 40, 0)","rgb(40, 0, 80)","rgb(112, 8, 16)"
000148.mp3,"rgb(160, 0, 0)","rgb(80, 0, 0)","rgb(40, 0, 0)","rgb(80, 0, 0)","rgb(160, 0, 0)","rgb(104, 0, 0)"
000706.mp3,"rgb(80, 0, 0)","rgb(240, 0, 0)","rgb(240, 0, 0)","rgb(120, 0, 0)","rgb(40, 0, 0)","rgb(144, 0, 0)"
000814.mp3,"rgb(40, 40, 0)","rgb(40, 0, 40)","rgb(40, 0, 40)","rgb(0, 40, 0)","rgb(0, 80, 0)","rgb(24, 32, 16)"
000709.mp3,"rgb(120, 0, 0)","rgb(120, 0, 0)","rgb(200, 0, 0)","rgb(160, 0, 0)","rgb(120, 0, 0)","rgb(144, 0, 0)"
000368.mp3,"rgb(80, 0, 0)","rgb(160, 0, 0)","rgb(160, 0, 0)","rgb(40, 0, 0)","rgb(120, 0, 0)","rgb(112, 0, 0)"
000825.mp3,"rgb(160, 0, 0)","rgb(200, 0, 0)","rgb(160, 0, 0)","rgb(120, 0, 0)","rgb(160, 0, 0)","rgb(160, 0, 0)"
000993.mp3,"rgb(120, 0, 0)","rgb(120, 0, 40)","rgb(240, 0, 0)","rgb(160, 0, 0)","rgb(160, 0, 0)","rgb(160, 0, 8)"
000822.mp3,"rgb(40, 0, 0)","rgb(120, 0, 0)","rgb(200, 0, 0)","rgb(240, 0, 0)","rgb(40, 0, 0)","rgb(128, 0, 0)"
000203.mp3,"rgb(40, 120, 0)","rgb(0, 80, 0)","rgb(120, 0, 0)","rgb(0, 0, 0)","rgb(40, 0, 0)","rgb(40, 40, 0)"
000540.mp3,"rgb(40, 40, 40)","rgb(0, 0, 0)","rgb(40, 0, 40)","rgb(160, 0, 0)","rgb(120, 0, 0)","rgb(72, 8, 16)"
000897.mp3,"rgb(120, 0, 0)","rgb(160, 0, 0)","rgb(240, 0, 0)","rgb(200, 0, 0)","rgb(160, 0, 0)","rgb(176, 0, 0)"
000255.mp3,"rgb(160, 0, 0)","rgb(40, 0, 0)","rgb(120, 0, 0)","rgb(80, 0, 0)","rgb(160, 0, 0)","rgb(112, 0, 0)"
